,name,rating,number of review,about
1,TCS,3.8,63.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +282 more
2,Accenture,4.1,40.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +141 more
3,Cognizant,3.9,36.7k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +111 more
4,Wipro,3.8,33.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +246 more
5,ICICI Bank,4.0,29.7k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1185 more
6,HDFC Bank,3.9,29.3k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1423 more
7,Infosys,3.9,27.6k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +135 more
8,Capgemini,3.9,25.6k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +87 more
9,Tech Mahindra,3.7,24.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +235 more
10,HCLTech,3.7,23.3k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +153 more
11,Genpact,4.0,23.1k,IT Services & Consulting | 50k-1 Lakh Employees | Public | 26 years old | New York +78 more
12,Axis Bank,3.8,19.6k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1222 more
13,Concentrix Corporation,3.9,18.8k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +84 more
14,Amazon,4.2,17.9k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +394 more
15,Reliance Jio,3.9,17.8k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1090 more
16,IBM,4.1,17.8k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +131 more
17,Larsen & Toubro Limited,4.0,16.7k,Engineering & Construction | 1 Lakh+ Employees | Public | 85 years old | Mumbai +579 more
18,HDB Financial Services,4.0,15.8k,NBFC | 10k-50k Employees | 16 years old | Ahmedabad +887 more
19,Reliance Retail,3.9,15.7k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +898 more
20,Teleperformance,3.6,14.8k,BPO | 10k-50k Employees | Forbes Global 2000 | 45 years old | Paris +127 more
21,Vodafone Idea,4.2,14.3k,10k-50k Employees | Public | 5 years old | Mumbai +605 more
22,Deloitte,4.0,12.7k,Management Consulting | 1 Lakh+ Employees | 178 years old | London +143 more
23,BYJU'S,3.2,12.5k,EdTech | 1k-5k Employees | Indian Unicorn | 12 years old | Bangalore +288 more
24,Kotak Mahindra Bank,3.8,12.4k,Banking | 10k-50k Employees | Public | 20 years old | Mumbai +509 more
25,Reliance Industries,4.0,11.6k,Oil & Gas | Public | 46 years old | Navi Mumbai +583 more
26,Bharti Airtel,4.0,10.8k,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +594 more
27,Tata Motors,4.2,10k,Automobile | 10k-50k Employees | Public | 78 years old | Pune +418 more
28,Flipkart,4.1,8.7k,Internet | 10k-50k Employees | Public | 16 years old | Bangalore +496 more
29,Ernst & Young,3.7,8.7k,Accounting & Auditing | 10k-50k Employees | 21 years old | London +88 more
30,WNS,3.6,8.4k,BPO | 10k-50k Employees | 27 years old | Mumbai +30 more
31,Mahindra & Mahindra,4.1,8.1k,Automobile | 1 Lakh+ Employees | Public | 78 years old | Mumbai +449 more
32,IndusInd Bank,3.7,8k,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +626 more
33,DXC Technology,3.8,7.3k,IT Services & Consulting | 10k-50k Employees | Public | 6 years old | Minato +57 more
34,Infosys BPM,3.9,7.2k,Analytics & KPO | 10k-50k Employees | 21 years old | Bangalore/Bengaluru +54 more
35,iEnergizer,4.4,7k,BPO | 10k-50k Employees | 23 years old | Noida +19 more
36,IDFC FIRST Bank,4.0,6.9k,Banking | 10k-50k Employees | Public | 5 years old | Mumbai +500 more
37,Conneqt Business Solutions,3.7,6.7k,Analytics & KPO | 10k-50k Employees | 21 years old | Mumbai +185 more
38,Bajaj Finserv,4.0,6.3k,Insurance | 10k-50k Employees | Public | 16 years old | Pune +783 more
39,Hinduja Global Solutions,4.0,6.3k,Software Product | 10k-50k Employees | Public | 23 years old | Bangalore/Bengaluru +85 more
40,HSBC Group,4.1,6.2k,Banking | 10k-50k Employees | Forbes Global 2000 | 21 years old | Pune +55 more
